subject,window_acc,session_acc,n_windows
S01,0.8755490483162518,0.8571428571428571,683
S02,0.9311258278145695,1.0,755
S03,0.9498644986449865,0.9545454545454546,738
S04,0.952317880794702,0.9545454545454546,755
S05,0.8913907284768212,0.9090909090909091,755
S06,0.8594164456233422,0.8181818181818182,754
S07,0.9228650137741047,0.9047619047619048,726
S08,0.8941798941798942,1.0,756
S09,0.9402390438247012,0.9545454545454546,753
S10,0.9655629139072848,1.0,755
S11,0.952443857331572,0.9545454545454546,757
