train,test,subject,acc_augmented,acc_within,delta,n_windows
RW,LW,S01,0.8157,0.852,-0.0363,331
RW,LW,S02,0.9366,0.9637,-0.0272,331
RW,LW,S03,0.9598,0.9567,0.0031,323
RW,LW,S04,0.9879,0.994,-0.006,331
RW,LW,S05,0.9154,0.9517,-0.0363,331
RW,LW,S06,0.9124,0.864,0.0483,331
RW,LW,S07,0.8761,0.852,0.0242,331
RW,LW,S08,0.9154,0.9124,0.003,331
RW,LW,S09,0.9033,0.9094,-0.006,331
RW,LW,S10,0.9728,0.9758,-0.003,331
RW,LW,S11,0.9789,0.9909,-0.0121,331
LW,RW,S01,0.9814,0.9876,-0.0062,323
LW,RW,S02,0.9877,0.9571,0.0307,326
LW,RW,S03,0.9685,0.9495,0.0189,317
LW,RW,S04,0.9235,0.9174,0.0061,327
LW,RW,S05,0.8497,0.9141,-0.0644,326
LW,RW,S06,0.8313,0.8252,0.0061,326
LW,RW,S07,0.9144,0.8654,0.0489,327
LW,RW,S08,0.9238,0.9116,0.0122,328
LW,RW,S09,0.9631,0.96,0.0031,325
LW,RW,S10,0.9266,0.9388,-0.0122,327
LW,RW,S11,0.9787,0.9787,0.0,329
