subject,exercise,wrist,n_reps,rep_dur_s,rmse_deg
S01,Ulnar-Nerve-Glide,LW,16,5.57,4.34
S01,Ulnar-Nerve-Glide,RW,16,5.46,3.08
S01,Forearm-Pronation-Supination,RW,10,3.99,0.85
S01,Forearm-Pronation-Supination,LW,10,3.78,1.58
S01,Front-Delt-Raise,RW,9,4.84,2.96
S01,Front-Delt-Raise,LW,9,4.12,0.73
S01,Lateral-Delt-Raise,RW,11,3.54,1.5
S01,Lateral-Delt-Raise,LW,11,3.5,0.81
S01,Scapular,RW,12,3.31,0.79
S01,Scapular,LW,12,3.26,0.72
S01,Bicep-Curl,LW,10,3.97,2.0
S01,Bicep-Curl,RW,10,3.7,1.02
S01,Scaption,LW,9,4.33,0.86
S01,Scaption,RW,9,4.44,0.71
S01,One-Arm-Tricep-Extension,RW,12,3.21,1.02
S01,External-Rotation,LW,3,3.22,0.86
S01,External-Rotation,RW,9,3.05,0.5
S01,Wand-Extension,LW,19,2.05,0.41
S01,Wand-Extension,RW,19,2.03,0.51
S01,Wand-Flexion,RW,9,2.91,1.28
S01,Wand-Extension,LW,9,2.98,1.83
S02,Bicep-Curl,RW,7,5.91,20.63
S02,Bicep-Curl,LW,7,5.93,3.96
S02,Ulnar-Nerve-Glide,RW,10,8.91,1.84
S02,Ulnar-Nerve-Glide,LW,9,8.88,1.03
S02,Forearm-Pronation-Supination,LW,7,5.0,0.74
S02,Forearm-Pronation-Supination,RW,7,5.03,1.0
S02,Wand-Extension,RW,12,3.42,1.47
S02,Wand-Extension,LW,12,3.37,0.32
S02,Wand-Flexion,LW,5,5.26,2.24
S02,Wand-Flexion,RW,5,5.25,2.59
S02,Front-Delt-Raise,RW,8,4.97,1.85
S02,Front-Delt-Raise,LW,8,5.03,0.94
S02,Lateral-Delt-Raise,RW,7,5.78,0.76
S02,Lateral-Delt-Raise,LW,7,5.15,0.54
S02,Scaption,LW,9,4.4,1.47
S02,Scaption,RW,9,4.32,1.45
S02,Scapular,LW,10,3.8,0.7
S02,Scapular,RW,10,3.98,1.09
S02,External-Rotation,RW,14,2.69,0.37
S02,External-Rotation,LW,13,2.81,0.43
S02,Banded-Overhead-Reach,RW,11,7.57,0.76
