subject,exercise,reps_lw,reps_rw
S01,Ulnar-Nerve-Glide,16,16
S01,Forearm-Pronation-Supination,10,10
S01,Front-Delt-Raise,9,9
S01,Lateral-Delt-Raise,11,11
S01,Scapular,12,12
S01,Bicep-Curl,10,10
S01,Scaption,9,9
S01,External-Rotation,3,9
S01,Wand-Extension,19,19
S02,Bicep-Curl,7,7
S02,Ulnar-Nerve-Glide,9,10
S02,Forearm-Pronation-Supination,7,7
S02,Wand-Extension,12,12
S02,Wand-Flexion,5,5
S02,Front-Delt-Raise,8,8
S02,Lateral-Delt-Raise,7,7
S02,Scaption,9,9
S02,Scapular,10,10
S02,External-Rotation,13,14
S03,Forearm-Pronation-Supination,8,8
S03,Front-Delt-Raise,8,8
S03,Lateral-Delt-Raise,8,8
S03,Scapular,9,8
S03,Bicep-Curl,10,10
S03,Wand-Extension,18,18
S03,Wand-Flexion,9,9
S03,Scaption,13,13
S03,External-Rotation,10,10
S04,Scapular,16,16
S04,Ulnar-Nerve-Glide,14,14
S04,Forearm-Pronation-Supination,12,12
S04,Front-Delt-Raise,12,11
S04,Lateral-Delt-Raise,10,10
S04,Bicep-Curl,8,8
S04,Wand-Extension,16,16
S04,Wand-Flexion,10,10
S04,Scaption,9,9
S04,External-Rotation,13,21
S05,Bicep-Curl,10,10
S05,Ulnar-Nerve-Glide,11,11
S05,Forearm-Pronation-Supination,6,6
S05,Wand-Extension,13,13
S05,Front-Delt-Raise,9,9
S05,Lateral-Delt-Raise,8,8
S05,Scaption,8,8
S05,Scapular,9,9
S05,External-Rotation,4,6
S05,Wand-Flexion,7,7
S06,Scapular,9,9
S06,Ulnar-Nerve-Glide,16,16
S06,Front-Delt-Raise,8,8
S06,Lateral-Delt-Raise,8,8
S06,Bicep-Curl,7,7
S06,Wand-Extension,18,18
S06,Wand-Flexion,7,7
S06,Scaption,8,8
S06,External-Rotation,9,11
S07,Ulnar-Nerve-Glide,18,18
S07,Forearm-Pronation-Supination,8,8
S07,Front-Delt-Raise,11,11
S07,Lateral-Delt-Raise,11,11
S07,Scapular,11,11
S07,Bicep-Curl,10,10
S07,Wand-Extension,16,12
S07,Wand-Flexion,6,6
S07,Scaption,11,11
S07,External-Rotation,6,5
S08,Ulnar-Nerve-Glide,13,13
S08,Forearm-Pronation-Supination,10,10
S08,Front-Delt-Raise,11,10
S08,Lateral-Delt-Raise,8,8
S08,Scapular,9,9
S08,Bicep-Curl,8,8
S08,Wand-Extension,9,9
S08,Wand-Flexion,5,5
S08,Scaption,7,7
S08,External-Rotation,7,3
S09,Ulnar-Nerve-Glide,19,19
S09,Forearm-Pronation-Supination,9,9
S09,Front-Delt-Raise,9,9
S09,Lateral-Delt-Raise,10,10
S09,Scapular,12,13
S09,Bicep-Curl,6,6
S09,Wand-Extension,19,19
S09,Wand-Flexion,6,6
S09,Scaption,7,7
S09,External-Rotation,12,13
S10,Scapular,9,9
S10,Front-Delt-Raise,9,9
S10,Lateral-Delt-Raise,10,10
S10,Ulnar-Nerve-Glide,14,14
S10,Forearm-Pronation-Supination,9,9
S10,Bicep-Curl,7,7
S10,Scaption,8,8
S10,Wand-Extension,15,15
S10,Wand-Flexion,6,6
S10,External-Rotation,8,8
S11,Ulnar-Nerve-Glide,18,18
S11,Forearm-Pronation-Supination,10,10
S11,Front-Delt-Raise,9,9
S11,Lateral-Delt-Raise,9,9
S11,Scapular,9,9
S11,Bicep-Curl,7,7
S11,Scaption,8,8
S11,Wand-Extension,15,15
S11,Wand-Flexion,5,5
S11,External-Rotation,12,12
