exercise,n_samples,pos_err_mm_max,ori_err_deg_max,joint_vel_frac_of_limit,required_slowdown,within_joint_limits
Banded-Overhead-Reach,325,0.01,0.0,0.326,1.0,True
Bicep-Curl,370,0.0,0.0,0.828,1.0,True
External-Rotation,363,0.0,0.0,0.143,1.0,True
Forearm-Pronation-Supination,376,0.47,0.01,2.045,2.05,True
Front-Delt-Raise,463,0.01,0.0,0.98,1.0,True
Lateral-Delt-Raise,515,0.01,0.0,0.474,1.0,True
One-Arm-Tricep-Extension,464,0.0,0.0,0.623,1.0,True
Scaption,444,0.0,0.0,0.422,1.0,True
Scapular,388,0.01,0.0,0.898,1.0,True
Ulnar-Nerve-Glide,744,18.61,0.23,2.433,2.43,True
Wand-Extension,337,0.01,0.0,0.321,1.0,True
Wand-Flexion,607,19.75,0.1,3.019,3.02,True
