exercise,slowdown,duration_s,mean_err_deg,max_err_deg,n_recorded
Banded-Overhead-Reach,2.0,6.5,0.164,0.963,3251
Bicep-Curl,2.0,7.4,0.306,2.859,3720
External-Rotation,2.0,7.3,0.058,0.463,3659
Forearm-Pronation-Supination,2.05,7.8,0.493,9.697,3918
Front-Delt-Raise,2.0,9.3,0.237,1.635,4668
Lateral-Delt-Raise,2.0,10.3,0.179,1.299,5165
One-Arm-Tricep-Extension,2.0,9.3,0.132,1.278,4651
Scaption,2.0,8.9,0.225,1.617,4452
Scapular,2.0,7.8,0.223,1.486,3902
Ulnar-Nerve-Glide,2.43,18.1,0.21,1.971,9074
Wand-Extension,2.0,6.8,0.078,0.613,3424
Wand-Flexion,3.02,18.4,0.11,1.714,9223
