executed,predicted,vote_frac,n_windows,correct
Banded-Overhead-Reach,Banded-Overhead-Reach,1.0,14,True
Bicep-Curl,Bicep-Curl,1.0,16,True
External-Rotation,External-Rotation,1.0,16,True
Forearm-Pronation-Supination,Forearm-Pronation-Supination,1.0,16,True
Front-Delt-Raise,Scapular,0.8,20,False
Lateral-Delt-Raise,Front-Delt-Raise,0.455,22,False
One-Arm-Tricep-Extension,One-Arm-Tricep-Extension,1.0,20,True
Scaption,Scaption,0.895,19,True
Scapular,Scapular,0.765,17,True
Ulnar-Nerve-Glide,Ulnar-Nerve-Glide,1.0,30,True
Wand-Extension,Wand-Extension,1.0,15,True
Wand-Flexion,Wand-Flexion,0.75,24,True
