exercise,n_reps,too_fast,reduced_rom,tremor,truncated
Banded-Overhead-Reach,154,0.2403,0.0519,1.0,0.8961
Bicep-Curl,180,0.2222,1.0,1.0,1.0
External-Rotation,209,0.2632,0.134,0.9952,0.7368
Forearm-Pronation-Supination,197,0.3503,1.0,0.9391,1.0
Front-Delt-Raise,204,0.3039,1.0,1.0,0.9902
Lateral-Delt-Raise,200,0.315,1.0,1.0,1.0
One-Arm-Tricep-Extension,79,0.2025,1.0,0.1772,1.0
Scaption,194,0.232,0.4897,1.0,1.0
Scapular,230,0.1739,0.8261,0.8304,0.9783
Ulnar-Nerve-Glide,319,0.0972,1.0,0.9875,1.0
Wand-Extension,345,0.3072,0.1043,1.0,0.8957
Wand-Flexion,141,0.0567,1.0,0.0851,1.0
